Date,Open,High,Low,Close,Adj Close,Volume
2018-12-14,24408.039063,24431.140625,24033.789063,24100.509766,24100.509766,4169400
2018-12-17,23986.830078,24088.080078,23456.880859,23592.980469,23592.980469,4667400
2018-12-18,23769.130859,23927.769531,23516.019531,23675.640625,23675.640625,4080700
2018-12-19,23693.330078,24057.339844,23162.640625,23323.660156,23323.660156,5035500
2018-12-20,23224.119141,23282.199219,22644.310547,22859.599609,22859.599609,5767000
2018-12-21,22871.740234,23254.589844,22396.339844,22445.369141,22445.369141,9005100
2018-12-24,22317.279297,22339.869141,21792.199219,21792.199219,21792.199219,3084200
2018-12-26,21857.730469,22878.919922,21712.529297,22878.449219,22878.449219,4330800
2018-12-27,22629.060547,23138.890625,22267.419922,23138.820313,23138.820313,4079400
2018-12-28,23213.609375,23381.880859,22981.330078,23062.400391,23062.400391,3365100
2018-12-31,23153.939453,23333.179688,23118.300781,23327.460938,23327.460938,2888300
2019-01-02,23058.609375,23413.470703,22928.589844,23346.240234,23346.240234,3215700
2019-01-03,23176.390625,23176.390625,22638.410156,22686.220703,22686.220703,4242400
2019-01-04,22894.919922,23518.640625,22894.919922,23433.160156,23433.160156,3960200
2019-01-07,23474.259766,23687.740234,23301.589844,23531.349609,23531.349609,3342000
2019-01-08,23680.320313,23864.650391,23581.449219,23787.449219,23787.449219,3174200
2019-01-09,23844.269531,24084.710938,23703.160156,23879.119141,23879.119141,3245700
2019-01-10,23811.109375,24014.779297,23703.250000,24001.919922,24001.919922,3381500
2019-01-11,23940.009766,23996.320313,23798.160156,23995.949219,23995.949219,2626500
2019-01-14,23880.529297,23964.900391,23765.240234,23909.839844,23909.839844,2775600
2019-01-15,23914.109375,24099.140625,23887.929688,24065.589844,24065.589844,2915700
2019-01-16,24139.910156,24288.609375,24119.720703,24207.160156,24207.160156,3028300
2019-01-17,24147.089844,24474.460938,24088.900391,24370.099609,24370.099609,2885900
2019-01-18,24534.189453,24750.220703,24459.029297,24706.349609,24706.349609,3729700
2019-01-22,24607.759766,24607.759766,24244.310547,24404.480469,24404.480469,3384800
2019-01-23,24577.250000,24700.980469,24307.169922,24575.619141,24575.619141,3186000
2019-01-24,24579.960938,24626.300781,24422.730469,24553.240234,24553.240234,3201700
2019-01-25,24687.210938,24860.150391,24676.750000,24737.199219,24737.199219,3768900
2019-01-28,24596.980469,24596.980469,24323.939453,24528.220703,24528.220703,3471700
2019-01-29,24519.619141,24674.869141,24504.039063,24579.960938,24579.960938,3308700
2019-01-30,24826.519531,25109.619141,24790.900391,25014.859375,25014.859375,3973300
2019-01-31,24954.480469,25049.619141,24842.089844,24999.669922,24999.669922,5073500
2019-02-01,25025.310547,25193.150391,24982.490234,25063.890625,25063.890625,3720900
2019-02-04,25062.119141,25239.910156,24977.669922,25239.369141,25239.369141,2985400
2019-02-05,25287.929688,25427.320313,25287.650391,25411.519531,25411.519531,3106500
2019-02-06,25371.570313,25439.039063,25312.060547,25390.300781,25390.300781,2475900
2019-02-07,25265.810547,25314.259766,25000.519531,25169.529297,25169.529297,2954600
